"","Timestamp","Class_Year","Major","Gender","Mood","Number_of_Classes","Class1_Participation","Class1_Type","Class1_Professor_Gender","Class2_Participation","Class2_Type","Class2_Professor_Gender","Class3_Participation","Class3_Type","Class3_Professor_Gender","Class4_Participation","Class4_Type","Class4_Professor_Gender","Class5_Participation","Class5_Type","Class5_Professor_Gender"
"194","2022/12/05 6:50:02 PM EST","Freshman","STEM","Female",3,4,"Never participate","STEM","Male","Never participate","Art or Humanities","Male","Never participate","Art or Humanities","Female","Sometimes","Art or Humanities","Male","","",""
"195","2022/12/05 6:50:35 PM EST","Freshman","STEM","Male",4,4,"Participate a lot","STEM","Male","Sometimes","STEM","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","","",""
"196","2022/12/05 6:50:49 PM EST","Junior","STEM","Female",2,3,"Participate a lot","STEM","Female","Sometimes","STEM","Female","Sometimes","STEM","Female","","","","","",""
"197","2022/12/05 6:51:49 PM EST","Senior","STEM","Male",3,4,"Participate a lot","STEM","Male","Participate a lot","STEM","Male","Participate a lot","STEM","Female","Participate a lot","STEM","Female","","",""
"198","2022/12/05 6:52:20 PM EST","Junior","Art or Humanities","Male",3,4,"Sometimes","Art or Humanities","Male","Never participate","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Male","Sometimes","STEM","Male"
"199","2022/12/05 6:53:18 PM EST","Sophomore","STEM","Female",4,4,"Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Participate a lot","STEM","Female","Sometimes","STEM","Female","","",""
"200","2022/12/05 6:53:34 PM EST","Junior","STEM","Male",1,4,"Sometimes","STEM","Male","Sometimes","STEM","Female","Participate a lot","STEM","Male","Sometimes","Art or Humanities","Male","Sometimes","STEM","Male"
"201","2022/12/05 6:53:51 PM EST","Sophomore","STEM","Male",2,4,"Participate a lot","STEM","Female","Sometimes","Art or Humanities","Male","Sometimes","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","","",""
"202","2022/12/05 6:55:19 PM EST","Sophomore","STEM","Female",3,4,"Never participate","STEM","Female","Never participate","STEM","Male","Never participate","STEM","Female","Sometimes","STEM","Male","","",""
"203","2022/12/05 7:00:52 PM EST","Senior","STEM","Female",3,5,"Never participate","STEM","Male","Sometimes","STEM","Male","Never participate","Art or Humanities","Male","Never participate","STEM","Male","Sometimes","Art or Humanities","Female"
"204","2022/12/05 7:01:53 PM EST","Senior","STEM","Female",4,5,"Participate a lot","STEM","Male","Participate a lot","Art or Humanities","Male","Participate a lot","STEM","Male","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female"
"205","2022/12/05 7:03:23 PM EST","Freshman","Art or Humanities","Female",4,4,"Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Male","Never participate","STEM","Male","","",""
"206","2022/12/05 7:03:44 PM EST","Junior","STEM","Male",3,5,"Sometimes","STEM","Male","Participate a lot","Art or Humanities","Male","Sometimes","STEM","Male","Never participate","Art or Humanities","Male","Never participate","Art or Humanities","Female"
"207","2022/12/05 7:04:19 PM EST","Freshman","Art or Humanities","Male",4,4,"Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","","",""
"208","2022/12/05 7:04:26 PM EST","Junior","STEM","Male",3,4,"Sometimes","STEM","Female","Sometimes","STEM","Female","Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Male","","",""
"209","2022/12/05 7:08:40 PM EST","Freshman","STEM","Female",2,4,"Never participate","STEM","Female","Sometimes","STEM","Female","Sometimes","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","","",""
"210","2022/12/05 7:09:32 PM EST","Sophomore","Art or Humanities","Female",2,4,"Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","Never participate","Art or Humanities","Female","","",""
"211","2022/12/05 7:10:26 PM EST","Senior","STEM","Male",3,4,"Sometimes","STEM","Female","Sometimes","STEM","Female","Sometimes","Art or Humanities","Female","Participate a lot","STEM","Male","Never participate","STEM","Female"
"212","2022/12/05 7:10:54 PM EST","Freshman","Art or Humanities","Female",4,4,"Participate a lot","STEM","Male","Participate a lot","STEM","Male","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","","",""
"213","2022/12/05 7:17:45 PM EST","Sophomore","STEM","Female",4,4,"Participate a lot","STEM","Female","Participate a lot","STEM","Male","Participate a lot","Art or Humanities","Male","Sometimes","Art or Humanities","Male","","",""
"214","2022/12/05 7:21:02 PM EST","Junior","STEM","Female",4,4,"Never participate","STEM","Male","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Male","Never participate","Art or Humanities","Male","","",""
"215","2022/12/05 7:21:58 PM EST","Senior","","Female",2,4,"Participate a lot","","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Male","Participate a lot","","Female","","",""
"216","2022/12/05 7:23:20 PM EST","Junior","Art or Humanities","Female",1,4,"Never participate","STEM","Male","Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","","",""
"217","2022/12/05 7:27:23 PM EST","Senior","Art or Humanities","Female",4,4,"Sometimes","STEM","Male","Sometimes","STEM","Female","Never participate","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","","",""
"218","2022/12/05 7:29:45 PM EST","Sophomore","STEM","Male",4,4,"Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","",""
"219","2022/12/05 7:32:43 PM EST","Junior","STEM","Female",3,4,"Participate a lot","Art or Humanities","Female","Participate a lot","STEM","Male","Never participate","STEM","Male","Sometimes","STEM","Male","","","Other"
"220","2022/12/05 7:34:58 PM EST","Junior","Art or Humanities","Female",4,4,"Participate a lot","STEM","Female","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","","",""
"221","2022/12/05 7:43:57 PM EST","Senior","STEM","Male",4,4,"Participate a lot","STEM","Male","Sometimes","STEM","Male","Participate a lot","STEM","Female","Participate a lot","STEM","Male","","",""
"222","2022/12/05 7:45:07 PM EST","Freshman","STEM","Female",4,4,"Never participate","Art or Humanities","Female","Sometimes","STEM","Male","Sometimes","STEM","Male","Sometimes","Art or Humanities","Male","","",""
"223","2022/12/05 7:46:02 PM EST","Freshman","STEM","Female",3,4,"Sometimes","STEM","Male","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","",""
"224","2022/12/05 7:48:52 PM EST","Sophomore","Art or Humanities","Male",3,4,"Never participate","STEM","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","","",""
"225","2022/12/05 7:54:58 PM EST","Sophomore","STEM","Male",4,4,"Never participate","STEM","Male","Sometimes","Art or Humanities","Female","Never participate","STEM","Male","Sometimes","Art or Humanities","Female","","",""
"226","2022/12/05 7:58:07 PM EST","Freshman","Art or Humanities","Female",3,4,"Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Sometimes","Art or Humanities","Female","","",""
"227","2022/12/05 8:00:47 PM EST","Freshman","Art or Humanities","Female",3,4,"Sometimes","Art or Humanities","Female","Never participate","STEM","Male","Sometimes","STEM","Male","Sometimes","Art or Humanities","Male","","",""
"228","2022/12/05 8:02:54 PM EST","Freshman","STEM","Male",3,4,"Never participate","STEM","Female","Sometimes","STEM","Male","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","","",""
"229","2022/12/05 8:02:56 PM EST","Sophomore","STEM","Male",2,4,"Participate a lot","Art or Humanities","Female","Sometimes","STEM","Male","Never participate","STEM","Male","Sometimes","Art or Humanities","Male","","",""
"230","2022/12/05 8:05:20 PM EST","Senior","STEM","Male",4,4,"Participate a lot","STEM","Female","Sometimes","STEM","Male","Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Female","","",""
"231","2022/12/05 8:06:45 PM EST","Sophomore","Art or Humanities","Female",3,4,"Sometimes","STEM","Male","Sometimes","STEM","Male","Sometimes","Art or Humanities","Male","Sometimes","Art or Humanities","Male","","",""
"232","2022/12/05 8:11:05 PM EST","Junior","STEM","Male",4,4,"Sometimes","STEM","Male","Participate a lot","STEM","Male","Sometimes","Art or Humanities","Female","Never participate","STEM","Female","","",""
"233","2022/12/05 8:13:37 PM EST","Senior","STEM","Female",4,4,"Participate a lot","STEM","Male","Participate a lot","STEM","Male","Sometimes","STEM","Female","Never participate","STEM","Male","","",""
"234","2022/12/05 8:15:14 PM EST","Sophomore","STEM","Female",2,4,"Participate a lot","STEM","Female","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","",""
"235","2022/12/05 8:18:47 PM EST","Senior","STEM","Male",4,5,"Participate a lot","STEM","Male","Participate a lot","STEM","Female","Participate a lot","STEM","Female","Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Female"
"236","2022/12/05 8:23:00 PM EST","Freshman","Art or Humanities","Male",5,4,"Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Sometimes","STEM","Female","Participate a lot","Art or Humanities","Female","","",""
"237","2022/12/05 8:35:42 PM EST","Freshman","STEM","Female",4,4,"Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","","",""
