mean,group
4172.9,n=20
3773.8,n=20
3297.95,n=20
5429.9,n=20
6528.45,n=20
7256.1,n=20
6160.1,n=20
6062.25,n=20
5103.35,n=20
6885.45,n=20
6957.2,n=20
3189.85,n=20
4566.95,n=20
6054.7,n=20
7649.25,n=20
5255.8,n=20
4708.45,n=20
5441.2,n=20
5875.9,n=20
9144.1,n=20
4873.25,n=20
3414.15,n=20
4881.9,n=20
5087.65,n=20
3310.95,n=20
6227.6,n=20
4904.35,n=20
3820.35,n=20
6225.5,n=20
7589.95,n=20
4203.65,n=20
6180.7,n=20
6765,n=20
6691.4,n=20
3789.05,n=20
5215.8,n=20
4146.75,n=20
6216.15,n=20
5237.3,n=20
6643.05,n=20
3096.95,n=20
2439.55,n=20
7103.9,n=20
5290,n=20
5938.55,n=20
5718.4,n=20
6891.7,n=20
4632.95,n=20
3994.4,n=20
5767.35,n=20
4886.2,n=20
6644.5,n=20
4537.35,n=20
9031.45,n=20
5082.1,n=20
5737.6,n=20
4337.5,n=20
6084.95,n=20
3312.15,n=20
4057.45,n=20
7201.3,n=20
4316.2,n=20
5885.4,n=20
7351.45,n=20
3066.05,n=20
4654.25,n=20
5298.65,n=20
4815.75,n=20
4934.6,n=20
4006.05,n=20
3077.45,n=20
4865.25,n=20
6622.05,n=20
5274.2,n=20
5432.7,n=20
4150.85,n=20
3340.9,n=20
5172,n=20
6300.35,n=20
3084.85,n=20
4579.8,n=20
8536.75,n=20
4944.45,n=20
3696.75,n=20
7177.4,n=20
5848.95,n=20
4052.35,n=20
8444.35,n=20
6607.95,n=20
6402.7,n=20
4604.65,n=20
10403.15,n=20
8009.5,n=20
4312.05,n=20
7614.3,n=20
4341.8,n=20
11531.75,n=20
3761.4,n=20
3004.4,n=20
5776.7,n=20
2867.35,n=20
3510.1,n=20
7610.95,n=20
7963.2,n=20
7944.05,n=20
3969.35,n=20
3293.55,n=20
5849.3,n=20
6971.45,n=20
6749.95,n=20
3278.65,n=20
6332.35,n=20
6092.1,n=20
5358.6,n=20
5693.35,n=20
3246.85,n=20
7549.45,n=20
11807.45,n=20
5784.4,n=20
5450.2,n=20
5093.15,n=20
5594.9,n=20
7535.05,n=20
8522.9,n=20
6042.4,n=20
6045.2,n=20
6494.5,n=20
5649.95,n=20
5156,n=20
5832.1,n=20
4064.95,n=20
4848.5,n=20
3931.95,n=20
7310.25,n=20
5453.25,n=20
10245.45,n=20
5627.8,n=20
5393.8,n=20
4970.15,n=20
6290.8,n=20
6059.4,n=20
7584.4,n=20
8494.95,n=20
3286.95,n=20
8162.9,n=20
4801.05,n=20
7619.75,n=20
2921.05,n=20
5082.1,n=20
4467.75,n=20
7658.35,n=20
6905.8,n=20
7308,n=20
5048,n=20
8839.6,n=20
6153.8,n=20
6577.35,n=20
5122.45,n=20
4223.55,n=20
7387.65,n=20
6450.55,n=20
7861.4,n=20
8804.5,n=20
5628.6,n=20
8478.7,n=20
5034.85,n=20
7152.45,n=20
3678.5,n=20
3920.4,n=20
5754.05,n=20
3985.7,n=20
5007.55,n=20
6348.45,n=20
4249.6,n=20
4972.95,n=20
6020.6,n=20
4860.85,n=20
5595.7,n=20
7173.35,n=20
4307.65,n=20
5631.45,n=20
4118.1,n=20
6202.25,n=20
6029.85,n=20
4511.6,n=20
4412.1,n=20
5235.65,n=20
5060.75,n=20
7905.65,n=20
4578.65,n=20
5818.9,n=20
7333.8,n=20
4196.2,n=20
5555.25,n=20
4570.55,n=20
7003.7,n=20
5133.5,n=20
6366.1,n=20
4807.75,n=20
5427.7,n=20
7094.15,n=20
4384.25,n=20
7529.25,n=20
5071,n=20
3532.2,n=20
6455.35,n=20
4240.95,n=20
7485.65,n=20
3152.5,n=20
5626.9,n=20
3572.6,n=20
6108.9,n=20
4536.55,n=20
6775.35,n=20
4984.75,n=20
5307.55,n=20
8104.7,n=20
5093.4,n=20
4954.65,n=20
6669.45,n=20
4607.9,n=20
7661.4,n=20
5181.3,n=20
4196.75,n=20
4941.05,n=20
4770.95,n=20
6191.55,n=20
5751.25,n=20
7083.85,n=20
2931.7,n=20
3670.85,n=20
5446.75,n=20
9354.15,n=20
3995.2,n=20
2953.1,n=20
3653.1,n=20
3517.25,n=20
7074.45,n=20
4892,n=20
4026.2,n=20
4011.05,n=20
4666.7,n=20
6026.25,n=20
5932.4,n=20
4420.15,n=20
5983.55,n=20
7083.75,n=20
8499.5,n=20
5502.7,n=20
3067.4,n=20
5732.9,n=20
2712.5,n=20
8378.95,n=20
4571.25,n=20
5655.5,n=20
7354.6,n=20
6813.8,n=20
6984.35,n=20
4792.25,n=20
6869.4,n=20
4871.1,n=20
7275.1,n=20
4035.8,n=20
3395.05,n=20
7054.9,n=20
4451.65,n=20
3984.65,n=20
6930.25,n=20
9926.15,n=20
5724.6,n=20
4413.5,n=20
5536,n=20
5659.95,n=20
7102.1,n=20
5123.9,n=20
7090.4,n=20
7670.15,n=20
8932.6,n=20
6086.55,n=20
5502,n=20
4802.3,n=20
6912.4,n=20
8032.95,n=20
7837.05,n=20
8002.75,n=20
5518.8,n=20
5097.8,n=20
7555,n=20
6301.45,n=20
3901.75,n=20
7960.35,n=20
4333.85,n=20
4858.3,n=20
5881.9,n=20
5027.1,n=20
3878.65,n=20
5003.4,n=20
4613,n=20
7769.8,n=20
6523.05,n=20
6007.6,n=20
5340.05,n=20
7474.45,n=20
3710.95,n=20
5847.4,n=20
5286.1,n=20
6118.7,n=20
3654.75,n=20
6544.5,n=20
7812,n=20
2930.05,n=20
5289.5,n=20
4620.85,n=20
6954.5,n=20
10621.35,n=20
5878.55,n=20
3311.45,n=20
6704.8,n=20
4369.1,n=20
5243.85,n=20
4127.05,n=20
5729.25,n=20
4298.35,n=20
6102.1,n=20
4918.4,n=20
7648.4,n=20
6747.9,n=20
5805.3,n=20
5522.4,n=20
6544.8,n=20
4554.35,n=20
8104.9,n=20
5141.25,n=20
4617.85,n=20
8943.85,n=20
5029.5,n=20
8506.05,n=20
3549.3,n=20
5533.5,n=20
6684.35,n=20
3893.5,n=20
7283.65,n=20
6727.5,n=20
7226.3,n=20
4968.15,n=20
10114.65,n=20
3814.4,n=20
6794.5,n=20
3445.35,n=20
5643.9,n=20
5663,n=20
4022.15,n=20
6972.6,n=20
8312.9,n=20
3370.45,n=20
4957.3,n=20
7619.65,n=20
3451.85,n=20
4577.85,n=20
2910.5,n=20
7420.9,n=20
4751.25,n=20
4181.15,n=20
3648.7,n=20
4982.3,n=20
3683.15,n=20
5364,n=20
7389.75,n=20
7683.85,n=20
3726.6,n=20
7206.55,n=20
8011.65,n=20
8551.95,n=20
4459.95,n=20
5630.7,n=20
5096.45,n=20
4272.85,n=20
3837.25,n=20
6217.55,n=20
4334.25,n=20
4009.05,n=20
7167.85,n=20
4785.9,n=20
5900.05,n=20
5765.65,n=20
5152.6,n=20
5646.55,n=20
1772.9,n=20
5168.25,n=20
7413.85,n=20
6674.75,n=20
5035.15,n=20
6897.65,n=20
4662.15,n=20
7098.35,n=20
5061.75,n=20
6679.75,n=20
6287.45,n=20
6060.85,n=20
5268.8,n=20
3834.25,n=20
