date,currency_code,name,local_price,dollar_ex,dollar_price
2012-07-01,HUF,Hungary,830.0,238.2151,3.48424596089836
2012-07-01,IDR,Indonesia,24200.0,9482.5,2.55206960189823
2012-07-01,INR,India,89.0,56.165,1.58461675420636
2012-07-01,ILS,Israel,11.9,4.07625,2.91934989267096
2012-07-01,JPY,Japan,320.0,78.22,4.09102531321913
2012-07-01,KRW,South Korea,3700.0,1151.0,3.2145960034752403
2012-07-01,LKR,Sri Lanka,290.0,131.0,2.2137404580152698
2012-07-01,MXN,Mexico,37.0,13.687,2.70329509753781
2012-07-01,MYR,Malaysia,7.4,3.1735,2.33181030408067
2012-07-01,NOK,Norway,43.0,6.09205,7.05837936326852
2012-07-01,NZD,New Zealand,5.1,1.273560876,4.004520000659951
2012-07-01,PKR,Pakistan,285.0,94.605,3.01252576502299
2012-07-01,PHP,Philippines,118.0,42.2,2.7962085308056897
2012-07-01,PLN,Poland,9.1,3.46035,2.6297917840680896
2012-07-01,RUB,Russia,75.0,32.76525,2.28901046077781
2012-07-01,SAR,Saudi Arabia,10.0,3.75025,2.6664889007399504
2012-07-01,SGD,Singapore,4.4,1.2585,3.49622566547477
2012-07-01,SEK,Sweden,39.97301987,6.9777,5.72868135202144
2012-07-01,THB,Thailand,82.0,31.7,2.58675078864353
2012-07-01,TRY,Turkey,8.25,1.8269,4.51584651595599
2012-07-01,TWD,Taiwan,75.0,30.1955,2.4838138133165497
2012-07-01,UAH,Ukraine,15.0,8.0855,1.85517284026962
2012-07-01,UYU,Uruguay,99.0,21.87,4.52674897119342
2012-07-01,USD,United States,4.3275,1.0,4.3275
2012-07-01,ZAR,South Africa,19.95,8.4683,2.35584473861342
2013-01-01,AED,UAE,12.0,3.67305,3.2670396536938
