county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,polls_2012,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips,X
Orange,0.059,"1,125,822.00",0.249,0.339,0.143,1.356,0.492,0.508,"48,429",0.13,0.472,0.101,0.199,0.098,2.663,0.636,"603,287","566,854","36,433",6,63%,N/A,29%,63.50%,36%,N/A,47.60%,34.51%,"315,663","209,095","16,351",0.524819,R,12,D,0.59,0.4,D,0.586,0.404,12095,NA
Osceola,0.015,"260,071.00",0.203,0.342,0.165,1.382,0.491,0.509,"44,887",0.154,0.57,0.101,0.127,0.048,2.345,0.71,"138,080","129,094","8,986",6.5,62%,N/A,28%,66.40%,37%,N/A,48.30%,30.83%,"81,226","45,848","3,865",0.536595,R,4,D,0.59,0.4,D,0.617,0.373,12097,NA
Palm Beach,0.069,"1,307,784.00",0.168,0.33,0.275,1.653,0.484,0.516,"52,806",0.127,0.468,0.079,0.204,0.122,2.726,0.735,"628,411","585,947","42,464",6.8,73%,N/A,19.30%,63.70%,26%,N/A,39.50%,34.84%,"376,011","250,226","30,659",0.548658,R,2,D,0.61,0.38,D,0.581,0.411,12099,NA
Pasco,0.023,"459,070.00",0.156,0.334,0.278,1.658,0.486,0.514,"43,787",0.131,0.577,0.092,0.137,0.063,2.424,0.882,"197,619","182,473","15,146",7.7,60%,N/A,12.70%,53.80%,38%,N/A,46.40%,42.17%,"105,873","128,232","15,076",0.431406,R,-9,R,0.48,0.51,R,0.459,0.525,12101,NA
Pinellas,0.05,"923,266.00",0.161,0.356,0.286,1.731,0.48,0.52,"46,051",0.112,0.526,0.089,0.18,0.091,2.606,0.821,"447,744","418,214","29,530",6.6,63%,N/A,16.80%,59.10%,35%,N/A,39.70%,37.58%,"226,699","226,660","23,352",0.494339,R,-6,D,0.53,0.45,D,0.521,0.465,12103,NA
Polk,0.031,"591,659.00",0.181,0.315,0.242,1.537,0.49,0.51,"43,606",0.179,0.561,0.078,0.126,0.056,2.319,0.752,"273,427","254,490","18,937",6.9,57%,N/A,19%,52.40%,42%,N/A,48.80%,44.44%,"146,223","143,284","11,565",0.439822,R,-1,R,0.46,0.53,R,0.46,0.527,12105,NA
Putnam,0.004,"75,028.00",0.159,0.328,0.26,1.595,0.497,0.503,"42,383",0.224,0.592,0.061,0.079,0.044,2.127,0.773,"32,057","29,618","2,439",7.6,56%,N/A,20.10%,47.40%,42%,N/A,59.60%,48.63%,"20,292","17,494",964,0.464245,R,-6,R,0.4,0.59,R,0.371,0.615,12107,NA
Santa Rosa,0.01,"182,504.00",0.184,0.368,0.185,1.475,0.505,0.495,"57,491",0.107,0.527,0.109,0.173,0.085,2.605,0.878,"96,362","91,366","4,996",5.2,57%,N/A,7.60%,29.20%,41%,N/A,70.30%,67.64%,"26,101","75,017","4,173",0.306001,R,14,R,0.34,0.65,R,0.306,0.683,12113,NA
Sarasota,0.015,"270,903.00",0.123,0.31,0.392,1.919,0.477,0.523,"48,900",0.084,0.532,0.084,0.178,0.121,2.717,0.902,"124,487","113,354","11,133",8.9,57%,N/A,12.40%,50.90%,42%,N/A,46.30%,46.44%,"90,971","127,750","9,255",0.443531,R,-1,D,0.56,0.43,R,0.534,0.456,12115,NA
Seminole,0.008,"147,730.00",0.205,0.363,0.178,1.465,0.485,0.515,"58,577",0.087,0.477,0.099,0.221,0.115,2.797,0.782,"70,359","66,289","4,070",5.8,56%,N/A,19.80%,52.80%,43%,N/A,57.20%,44.72%,"94,194","109,138","7,115",0.441813,R,12,R,0.26,0.73,R,0.231,0.755,12117,NA
St. Johns,0.021,"376,390.00",0.15,0.369,0.226,1.566,0.486,0.514,"64,346",0.073,0.437,0.083,0.273,0.134,2.958,0.893,"167,160","154,823","12,337",7.4,53%,N/A,11.10%,36.90%,45%,N/A,65.80%,59.76%,"40,032","90,370","5,148",0.361676,R,21,R,0.49,0.5,R,0.457,0.531,12109,NA
St. Lucie,0.023,"420,468.00",0.163,0.327,0.265,1.612,0.489,0.511,"43,923",0.158,0.57,0.081,0.122,0.068,2.369,0.718,"241,178","227,205","13,973",5.8,66%,N/A,22%,59.00%,33%,N/A,46.80%,38.66%,"77,015","61,248","6,419",0.499544,R,-6,R,0.48,0.51,D,0.461,0.526,12111,NA
Sumter,0.005,"86,494.00",0.098,0.327,0.565,2.447,0.519,0.481,"46,981",0.136,0.572,0.066,0.134,0.092,2.474,0.866,"30,934","29,145","1,789",5.8,50%,N/A,13.20%,39.50%,48%,N/A,63.20%,57.53%,"23,278","48,168","2,997",0.355047,R,5,R,0.36,0.63,R,0.322,0.671,12119,NA
Suwannee,0.002,"40,959.00",0.179,0.323,0.249,1.572,0.508,0.492,"36,159",0.207,0.627,0.068,0.067,0.031,2.088,0.825,"17,008","15,979","1,029",6.1,52%,N/A,13.10%,36.20%,47%,N/A,65%,60.38%,"10,966","11,104","1,030",0.414103,R,-3,R,0.28,0.71,R,0.269,0.716,12121,NA
Taylor,0.001,"22,387.00",0.201,0.354,0.225,1.584,0.554,0.446,"34,634",0.223,0.595,0.073,0.062,0.048,2.12,0.752,"9,139","8,525",614,6.7,61%,N/A,16.40%,43.60%,38%,N/A,59.10%,53.53%,"6,948","4,087",238,0.496757,R,1,R,0.3,0.69,R,0.302,0.684,12123,NA
Union,0.001,"15,643.00",0.223,0.4,0.157,1.494,0.644,0.356,"43,750",0.251,0.582,0.065,0.075,0.027,2.045,0.75,"5,309","5,045",264,5,52%,N/A,16.20%,39.00%,47%,N/A,62.60%,58.23%,"3,507","2,878",123,0.434029,R,7,R,0.25,0.74,R,0.248,0.736,12125,NA
Volusia,0.027,"499,273.00",0.167,0.337,0.281,1.684,0.488,0.512,"43,419",0.125,0.57,0.095,0.134,0.076,2.466,0.825,"254,567","237,301","17,266",6.8,63%,N/A,21.30%,55.20%,35%,N/A,50.10%,41.89%,"126,104","124,817","11,716",0.465897,R,-6,D,0.52,0.47,R,0.488,0.499,12127,NA
Wakulla,0.002,"28,944.00",0.193,0.395,0.167,1.484,0.547,0.453,"53,385",0.131,0.624,0.08,0.105,0.06,2.339,0.82,"15,916","15,178",738,4.6,69%,N/A,13%,46.70%,29%,N/A,49.10%,49.50%,"8,858","7,652",573,0.473755,R,-1,R,0.37,0.62,R,0.352,0.632,12129,NA
Walton,0.003,"54,066.00",0.175,0.368,0.232,1.607,0.512,0.488,"44,254",0.143,0.541,0.074,0.167,0.075,2.49,0.878,"31,129","29,684","1,445",4.6,54%,N/A,9.50%,30.50%,44%,N/A,71.80%,66.24%,"9,651","26,822",862,0.314168,R,13,R,0.26,0.72,R,0.233,0.752,12131,NA
Washington,0.001,"24,669.00",0.188,0.36,0.215,1.553,0.538,0.462,"38,536",0.198,0.621,0.06,0.083,0.038,2.142,0.804,"9,881","9,234",647,6.5,52%,N/A,14.70%,38.30%,46%,N/A,68.60%,58.29%,"5,602","7,363",222,0.373032,R,2,R,0.26,0.73,R,0.255,0.728,12133,NA
